Unnamed: 0,VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_MISSION,TRAVEL_MISSION_CHECK,TRAVEL_MISSION_PRIORITY,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM,ADDR,RES_CAFE,VISIT_COUNT,VISIT_AREA_MAIN_TYPE
790638,2210160002,d_d004399,6,롯데마트 제주점,2022-10-16 00:00:00,2022-10-16 00:00:00,제주특별자치도 제주시 연북로 1,제주특별자치도 제주시 노형동 708,126.4818478,33.48243476,,,POI01000000EG4M3J,롯데마트제주점,60,4,Y,1,,4,5,4,,D01,d004399,1;2;,2022-10-15 00:00:00,2022-10-17 00:00:00,자가용,1;2;,2;1;23,2,50,여,30,6,1,2,3,3.0,,1,4.0,3,3,41,41460,11,11215,42,42110,3,2,2,2,3,5,2,6,제주특별자치도,제주,자녀 동반 여행,2022-10-15~2022-10-16,1,3.0,7.0,2,제주특별자치도 제주시 연북로 1,2,14,4
790648,2210280004,d_d006717,11,제주승마장,2022-10-28 00:00:00,2022-10-28 00:00:00,제주특별자치도 제주시 조천읍 비자림로 1065,제주특별자치도 제주시 조천읍 교래리 39,126.7193618,33.43475868,,,POI01000000EG6KIY,중앙목장,60,5,N,8,,5,3,5,,D01,d006717,2;22;23;3;5;,2022-10-27 00:00:00,2022-10-30 00:00:00,대중교통 등,2;22;23;3;5;,6;3;23,6,41,여,20,6,1,1,4,3.0,,1,10.0,2,1,50,50130,41,41650,26,26350,5,2,1,3,6,5,6,6,제주특별자치도,제주,2인 여행(가족 외),2022-10-27~2022-10-29,1,3.0,2.0,1,제주특별자치도 제주시 조천읍 비자림로 1065,2,2,5
790649,2210290002,d_d006717,17,교래흑돼지 본점,2022-10-29 00:00:00,2022-10-29 00:00:00,제주특별자치도 제주시 조천읍 교래4길 73,제주특별자치도 제주시 조천읍 교래리 216-1,126.6750575,33.42372662,,,,,60,11,N,2,,4,4,4,,D01,d006717,2;22;23;3;5;,2022-10-27 00:00:00,2022-10-30 00:00:00,대중교통 등,2;22;23;3;5;,6;3;23,6,41,여,20,6,1,1,4,3.0,,1,10.0,2,1,50,50130,41,41650,26,26350,5,2,1,3,6,5,6,6,제주특별자치도,제주,2인 여행(가족 외),2022-10-27~2022-10-29,1,3.0,2.0,1,제주특별자치도 제주시 조천읍 교래4길 73,0,8,11
790657,2210280001,d_d006717,8,송악산,2022-10-28 00:00:00,2022-10-28 00:00:00,,제주특별자치도 서귀포시 대정읍 상모리 산 2,126.2897914,33.19908294,,,POI01000000E85UFW,송학펜션산지버스정류장,60,1,N,5,,5,5,5,,D01,d006717,2;22;23;3;5;,2022-10-27 00:00:00,2022-10-30 00:00:00,대중교통 등,2;22;23;3;5;,6;3;23,6,41,여,20,6,1,1,4,3.0,,1,10.0,2,1,50,50130,41,41650,26,26350,5,2,1,3,6,5,6,6,제주특별자치도,제주,2인 여행(가족 외),2022-10-27~2022-10-29,1,3.0,2.0,1,제주특별자치도 서귀포시 대정읍 상모리 산 2,2,36,1
790693,2210280002,d_d006717,9,그랜드조선제주 아리아,2022-10-28 00:00:00,2022-10-28 00:00:00,제주특별자치도 서귀포시 중문관광로72번길 60,제주특별자치도 서귀포시 색달동 2785,126.4080876,33.25220248,,,POI010000006VUICL,중문골프클럽,90,11,N,2,,5,3,5,,D01,d006717,2;22;23;3;5;,2022-10-27 00:00:00,2022-10-30 00:00:00,대중교통 등,2;22;23;3;5;,6;3;23,6,41,여,20,6,1,1,4,3.0,,1,10.0,2,1,50,50130,41,41650,26,26350,5,2,1,3,6,5,6,6,제주특별자치도,제주,2인 여행(가족 외),2022-10-27~2022-10-29,1,3.0,2.0,1,제주특별자치도 서귀포시 중문관광로72번길 60,0,6,11
790699,2210270007,d_d006717,7,그랜드조선 제주,2022-10-27 00:00:00,2022-10-28 00:00:00,제주특별자치도 서귀포시 중문관광로72번길 60,제주특별자치도 서귀포시 색달동 2785,126.4080049,33.25236438,,,POI010000006VUICL,중문골프클럽,210,24,N,7,1.0,5,4,4,,D01,d006717,2;22;23;3;5;,2022-10-27 00:00:00,2022-10-30 00:00:00,대중교통 등,2;22;23;3;5;,6;3;23,6,41,여,20,6,1,1,4,3.0,,1,10.0,2,1,50,50130,41,41650,26,26350,5,2,1,3,6,5,6,6,제주특별자치도,제주,2인 여행(가족 외),2022-10-27~2022-10-29,1,3.0,2.0,1,제주특별자치도 서귀포시 중문관광로72번길 60,2,24,24
790722,2210290003,d_d006717,18,함덕해수욕장,2022-10-29 00:00:00,2022-10-29 00:00:00,제주특별자치도 제주시 조천읍 조함해안로 525,제주특별자치도 제주시 조천읍 함덕리 1004-10,126.6692389,33.54306157,,,POI0100000078KLO4,샤워실,0,1,Y,1,,4,4,4,,D01,d006717,2;22;23;3;5;,2022-10-27 00:00:00,2022-10-30 00:00:00,대중교통 등,2;22;23;3;5;,6;3;23,6,41,여,20,6,1,1,4,3.0,,1,10.0,2,1,50,50130,41,41650,26,26350,5,2,1,3,6,5,6,6,제주특별자치도,제주,2인 여행(가족 외),2022-10-27~2022-10-29,1,3.0,2.0,1,제주특별자치도 제주시 조천읍 조함해안로 525,2,328,1
791050,2210270006,d_d006717,6,셰프와흑돼지,2022-10-27 00:00:00,2022-10-27 00:00:00,제주특별자치도 서귀포시 안덕면 한창로110번길 62,제주특별자치도 서귀포시 안덕면 상창리 774-3,126.3625355,33.27809895,,,POI01000000ALB9GR,셰프와흑돼지,60,11,N,5,,5,5,5,,D01,d006717,2;22;23;3;5;,2022-10-27 00:00:00,2022-10-30 00:00:00,대중교통 등,2;22;23;3;5;,6;3;23,6,41,여,20,6,1,1,4,3.0,,1,10.0,2,1,50,50130,41,41650,26,26350,5,2,1,3,6,5,6,6,제주특별자치도,제주,2인 여행(가족 외),2022-10-27~2022-10-29,1,3.0,2.0,1,제주특별자치도 서귀포시 안덕면 한창로110번길 62,0,3,11
791053,2210280008,d_d006717,15,오롯한집,2022-10-28 00:00:00,2022-10-29 00:00:00,제주특별자치도 제주시 구좌읍 동백로 476-81,제주특별자치도 제주시 구좌읍 덕천리 851-15,126.7540128,33.49537871,,,POI01000000EG7L8Q,오롯한집,270,24,N,2,8.0,5,5,5,,D01,d006717,2;22;23;3;5;,2022-10-27 00:00:00,2022-10-30 00:00:00,대중교통 등,2;22;23;3;5;,6;3;23,6,41,여,20,6,1,1,4,3.0,,1,10.0,2,1,50,50130,41,41650,26,26350,5,2,1,3,6,5,6,6,제주특별자치도,제주,2인 여행(가족 외),2022-10-27~2022-10-29,1,3.0,2.0,1,제주특별자치도 제주시 구좌읍 동백로 476-81,2,1,24
791054,2210280005,d_d006717,12,산굼부리,2022-10-28 00:00:00,2022-10-28 00:00:00,,제주특별자치도 제주시 조천읍 교래리 166-2,126.693832,33.43257409,,,,,60,2,Y,1,,5,5,5,,D01,d006717,2;22;23;3;5;,2022-10-27 00:00:00,2022-10-30 00:00:00,대중교통 등,2;22;23;3;5;,6;3;23,6,41,여,20,6,1,1,4,3.0,,1,10.0,2,1,50,50130,41,41650,26,26350,5,2,1,3,6,5,6,6,제주특별자치도,제주,2인 여행(가족 외),2022-10-27~2022-10-29,1,3.0,2.0,1,제주특별자치도 제주시 조천읍 교래리 166-2,2,99,1
