VISIT_AREA_NM,VISIT_AREA_MAIN_TYPE,VISIT_COUNT,VISIT_REASON,RES_CAFE
제주관덕정분식,11,5,"[0.2, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.0, 0.0]",0
스시우도포차,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
우리들의별포차,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
청춘이오란다 서귀포점,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
헤르멘하우스,24,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",2
몽땅 신화월드점,11,3,"[0.333333, 0.333333, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
귤메달 하우스,10,2,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
쇠소깍모꼬지,11,3,"[0.333333, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
아일랜드 프로젝트 성산,10,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.666667, 0.0, 0.0]",2
법환맛씸,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
한촌설렁탕 제주삼화점,11,1,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
차귀도,1,3,"[0.333333, 0.0, 0.0, 0.0, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
무아르카페,11,3,"[0.0, 0.666667, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0]",1
돌담흑돼지 연동,11,10,"[0.1, 0.5, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0]",0
스테리나잇제주펜션,24,3,"[0.0, 0.333333, 0.0, 0.0, 0.0, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0]",2
본보이즈,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
메르시하도,24,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
제주 애월회관 애월곽지점,11,4,"[0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25]",0
해녀김밥 함덕 본점,11,4,"[0.75, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
흑돈사,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
구좌상회작업실,11,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
작가의산책길 종합안내소,7,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
쇠소깍복순이네식당,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
산방산삼춘네,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
다다익고 신서귀점,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
쇠소깍수상레저 전통테우,13,5,"[0.4, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]",2
오가네전복설렁탕 서귀포본점,11,9,"[0.0, 0.666667, 0.0, 0.222222, 0.0, 0.111111, 0.0, 0.0, 0.0, 0.0, 0.0]",0
GS25 곽지해변점,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]",2
정석주유소,10,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2
이정현돼지갈비강정 곽지본점,11,2,"[0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
서광춘희,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
레몬하우스,24,3,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
제주도립미술관,3,4,"[0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.25, 0.25]",2
손지오름,1,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5]",2
갤러리호텔비앤비,24,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",2
느영나영혼듸모영 대정본점,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
월령15,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",1
왕서방,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
맨도롱국수집,11,3,"[0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.666667, 0.0, 0.0]",0
모슬봉숲길,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
삼다도횟집 본점,11,3,"[0.0, 0.333333, 0.0, 0.0, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
어영마을,7,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
밀라네사,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
아임파인,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
하노이식당,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
더그랜드섬오름 본관,24,11,"[0.0, 0.0, 0.0, 0.090909, 0.272727, 0.0, 0.545455, 0.0, 0.0, 0.0, 0.090909]",0
감귤박물관 감귤체험학습장,13,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",2
제주칼국수 장수상회,11,2,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
다이소 서귀포표선점,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5]",2
어울림감귤체험농장,13,3,"[0.0, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0]",2
다린,11,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",1
아트살롱 제주,10,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
핸드메이드라이프,10,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
제주해조대,24,4,"[0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0]",2
칠돈가 서광직영점,11,5,"[0.0, 0.6, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0]",0
고객식당,11,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",0
제주도담,24,2,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
뱃도새기 흑돼지 제주서귀포점,11,2,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
애월7일,11,5,"[0.0, 0.2, 0.0, 0.0, 0.6, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]",1
유수암돌집,24,2,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
애월바당국수,11,4,"[0.0, 0.0, 0.0, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25]",0
신동아문구 제주본점,10,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
KFC 제주서귀포DI점,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
예술공간 오이,3,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
제주성지,2,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
무진장회식당 오라동점,11,2,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
보성시장,4,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
일품순두부 연동점,4,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]",0
이돈갓 시청본점,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
소완도식당,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
간세게스트하우스,24,5,"[0.0, 0.2, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.2]",2
주정공장 옛터,2,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
오션클라우드,24,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",2
CASA블루,24,19,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
동도원,11,3,"[0.0, 0.666667, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
한림수협마트,4,4,"[0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",2
하늬달,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
제주안전체험관,13,7,"[0.0, 0.714286, 0.0, 0.0, 0.142857, 0.0, 0.0, 0.0, 0.0, 0.142857, 0.0]",2
피그농원,11,2,"[0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
황금손가락 한림점,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0
구움몽,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",1
연우네,11,2,"[0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
대림리새마을회관,7,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
모던하우스 제주아라점,10,1,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
부지깽이,11,3,"[0.0, 0.333333, 0.0, 0.0, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
KFC 서귀포중문DT점,11,3,"[0.0, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.666667, 0.0, 0.0]",0
본에스티스 파르나스 호텔 제주점,24,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
세계술박물관,2,2,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]",2
위드스테이호텔,24,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.25]",2
돌담땅콩국수,11,5,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
다이노스 어라이브 제주,3,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2
미도식당,11,4,"[0.25, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
성산포흑돈애,11,2,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
성산 장인의집,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
칠돈가 성산직영점,11,6,"[0.0, 0.833333, 0.0, 0.0, 0.0, 0.166667, 0.0, 0.0, 0.0, 0.0, 0.0]",0
소랑드르,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
달그리안,11,4,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",1
중문오프로드체험장,13,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]",2
백부장집,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0
제주바다펜션,24,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",2
틈새식당,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0
호미가,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
멍우주,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
기억해제주,4,4,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0]",2
댄싱포크,11,3,"[0.0, 0.666667, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
우림호텔,24,7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.285714, 0.0, 0.0, 0.714286]",2
무용담,11,2,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
화산2020,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
에디토리얼제주,24,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
CU 서귀포올레중앙점,10,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
올레강민,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
맛존디 본점,11,4,"[0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0]",0
개오름,1,4,"[0.25, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
흑본오겹 제주공항점,11,2,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",0
팔도식당갈치조림 섭지코지점,11,1,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
로즈마리펜션,24,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",2
오만정성 본점,11,1,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
힐링스테이,24,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",2
애월환해장성,2,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
정글게스트하우스,24,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2
아망딘테이블,11,2,"[0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
흰백,10,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
협재해물라면 쪼꼴락상회,11,4,"[0.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.5, 0.0, 0.0]",0
바다는김녕,11,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",1
한림수협,4,6,"[0.0, 0.333333, 0.0, 0.166667, 0.0, 0.0, 0.0, 0.333333, 0.166667, 0.0, 0.0]",2
세화마구간,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
살찐고등어,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
다코네,11,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",1
면수동흑돼지,11,4,"[0.0, 0.5, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0]",0
삼다초콜릿체험장,13,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
한담풍경하우스,24,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
원쭈꾸미,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0
김정문알로에 알로에숲,3,3,"[0.333333, 0.333333, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
제주담한식뷔폐,11,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.25, 0.0, 0.25]",0
제니빌펜션,24,3,"[0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.333333]",2
하귀청마루,11,2,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
더애월 본점,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
라온골프클럽,5,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5]",2
블로비노형,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
더시에나컨트리클럽 제주,5,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2
동수식당,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
이가도담해장국,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
UTS골프빌리지,24,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",2
기쁨이네해물탕&돌솥밥,11,4,"[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.25]",0
광명샤인빌아파트,24,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
파리바게뜨 함덕해수욕장점,11,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5]",0
제주맛집칼국수,11,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]",0
괴기,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
다인리조트,24,9,"[0.0, 0.333333, 0.0, 0.0, 0.111111, 0.111111, 0.222222, 0.222222, 0.0, 0.0, 0.0]",2
다인오세아노호텔 루프탑ARA,5,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
다인리조트 라이브가든,24,3,"[0.666667, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0]",0
왈종미술관,3,9,"[0.333333, 0.333333, 0.0, 0.0, 0.111111, 0.222222, 0.0, 0.0, 0.0, 0.0, 0.0]",2
옥돔마을,7,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",2
모살개렌트하우스,24,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
임순이네,11,8,"[0.0, 0.5, 0.0, 0.125, 0.375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
귀덕1리항,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
청춘당꽈배기 서부점,11,3,"[0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.666667, 0.0, 0.0]",0
전원일기 동광점,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
CU 제주위미점,10,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
위미농협 하나로마트,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]",2
마블링 남원점,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
애월흑돼지 애월그때그집 본점,11,3,"[0.0, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0]",0
카페바르941,11,3,"[0.0, 0.333333, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0]",1
찰리호텔,24,3,"[0.0, 0.0, 0.0, 0.333333, 0.0, 0.333333, 0.0, 0.333333, 0.0, 0.0, 0.0]",2
자키커피,11,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]",1
오현단,2,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
송이축산정육식당,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
114화교반점,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
그레이1766,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
호텔더원,24,4,"[0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.25]",2
마이피기팬트리,10,6,"[0.166667, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.166667]",2
하효항,1,3,"[0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.666667, 0.0, 0.0]",2
신흥해수욕장,1,2,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",2
배롱정원,11,2,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
중문레지나김밥,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
명월팽나무군락,2,2,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",2
썬라이즈호텔 중문점,24,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2
식물집카페,11,4,"[0.5, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
회나루,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
돈꿀꺽 애월본점,11,3,"[0.0, 0.333333, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0]",0
제주추사관,2,5,"[0.4, 0.2, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]",2
대정오일시장,4,5,"[0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.2]",2
에이바우트커피 아이파크점,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
제주시청,4,4,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]",2
"용연구름다리, 용두암",1,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
준클라시코,11,2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
도두해수파크,24,6,"[0.0, 0.166667, 0.0, 0.166667, 0.0, 0.166667, 0.0, 0.333333, 0.0, 0.0, 0.166667]",2
미화식탁,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
비밀의화원스튜디오,13,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
볼레낭펜션,24,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2
제주스럽닭 서귀포올레점,11,5,"[0.0, 0.4, 0.2, 0.0, 0.2, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0]",0
제주더사계,11,3,"[0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.333333]",0
